,rowId,x,y,z,radius,link
124,125,12550.0,11866.0,11382.0,31.2492,124
125,126,12568.0,11848.0,11472.0,45.0,125
126,127,12604.0,11848.0,11526.0,27.0,126
127,128,12640.0,11848.0,11562.0,41.9117,127
128,129,12712.0,11830.0,11634.0,31.2492,128
129,130,12784.0,11794.0,11706.0,31.2492,129
130,131,12820.0,11776.0,11742.0,41.9117,130
131,132,12838.0,11758.0,11832.0,41.9117,131
132,133,12799.5,11758.0,11942.5,43.2426,132
133,134,12748.0,11758.0,11994.0,27.0,133
134,135,12712.0,11758.0,12030.0,45.0,134
135,136,12676.0,11758.0,12066.0,45.0,135
136,137,12640.0,11758.0,12102.0,27.0,136
137,138,12604.0,11776.0,12138.0,41.9117,137
138,139,12550.0,11812.0,12264.0,41.9117,138
139,140,12568.0,11830.0,12354.0,41.9117,139
140,141,12586.0,11848.0,12426.0,31.2492,140
141,142,12622.0,11884.0,12480.0,45.0,141
142,143,12658.0,11884.0,12552.0,45.0,142
143,144,12694.0,11866.0,12606.0,27.0,143
144,145,12730.0,11866.0,12642.0,31.2492,144
145,146,12748.0,11866.0,12732.0,41.9117,145
146,147,12802.0,11884.0,12822.0,41.9117,146
147,148,12820.0,11920.0,12912.0,31.2492,147
148,149,12820.0,11956.0,12984.0,31.2492,148
149,150,12838.0,11992.0,13056.0,41.9117,149
150,151,12874.0,12082.0,13182.0,45.0,150
151,152,12928.0,12118.0,13236.0,27.0,151
152,153,12946.0,12118.0,13290.0,41.9117,152
153,154,12982.0,12208.0,13380.0,41.9117,153
154,155,13000.0,12280.0,13470.0,31.2492,154
155,156,13000.0,12334.0,13524.0,27.0,155
156,157,12982.0,12406.0,13578.0,31.2492,156
157,158,12946.0,12478.0,13632.0,41.9117,157
158,159,12928.0,12550.0,13704.0,41.9117,158
159,160,12892.0,12676.0,13794.0,45.0,159
160,161,12856.0,12766.0,13848.0,31.2492,160
161,162,12838.0,12802.0,13866.0,41.9117,161
162,163,12838.0,12838.0,13902.0,31.2492,162
163,164,12820.0,12910.0,13938.0,41.9117,163
164,165,12784.0,13000.0,13992.0,41.9117,164
165,166,12766.0,13054.0,14028.0,31.2492,165
166,167,12730.0,13144.0,14082.0,41.9117,166
167,168,12694.0,13216.0,14118.0,27.0,167
168,169,12694.0,13270.0,14154.0,41.9117,168
169,170,12694.0,13306.0,14190.0,31.2492,169
170,171,12676.0,13378.0,14226.0,41.9117,170
171,172,12676.0,13468.0,14298.0,41.9117,171
172,173,12658.0,13594.0,14352.0,45.0,172
173,174,12694.0,13702.0,14406.0,41.9117,173
174,175,12712.0,13756.0,14424.0,41.9117,174
175,176,12730.0,13792.0,14442.0,27.0,175
176,177,12748.0,13828.0,14478.0,27.0,176
177,178,12766.0,13864.0,14496.0,27.0,177
178,179,12784.0,13918.0,14514.0,45.0,178
179,180,12802.0,14026.0,14550.0,27.0,179
180,181,12820.0,14098.0,14568.0,41.9117,180
181,182,12838.0,14206.0,14604.0,45.0,181
182,183,12856.0,14314.0,14640.0,45.0,182
183,184,12874.0,14422.0,14676.0,45.0,183
184,185,12910.0,14494.0,14712.0,41.9117,184
185,186,12928.0,14548.0,14730.0,27.0,185
186,187,12946.0,14620.0,14748.0,27.0,186
187,188,12964.0,14710.0,14784.0,27.0,187
188,189,12982.0,14746.0,14802.0,41.9117,188
189,190,13054.0,14818.0,14874.0,31.2492,189
190,191,13072.0,14872.0,14892.0,27.0,190
191,192,13108.0,14962.0,14946.0,27.0,191
192,193,13126.0,15034.0,14982.0,31.2492,192
193,194,13144.0,15106.0,15018.0,27.0,193
194,195,13180.0,15160.0,15054.0,27.0,194
195,196,13216.0,15196.0,15090.0,41.9117,195
196,197,13270.0,15268.0,15144.0,31.2492,196
197,198,13306.0,15304.0,15180.0,41.9117,197
198,199,13360.0,15376.0,15252.0,31.2492,198
199,200,13396.0,15448.0,15288.0,31.2492,199
200,201,13432.0,15520.0,15342.0,41.9117,200
201,202,13450.0,15574.0,15396.0,27.0,201
202,203,13450.0,15646.0,15432.0,27.0,202
203,204,13450.0,15718.0,15468.0,27.0,203
204,205,13468.0,15790.0,15522.0,27.0,204
205,206,13468.0,15862.0,15576.0,27.0,205
206,207,13468.0,15934.0,15612.0,27.0,206
207,208,13468.0,16006.0,15648.0,27.0,207
208,209,13468.0,16078.0,15666.0,27.0,208
209,210,13486.0,16186.0,15738.0,45.0,209
210,211,13486.0,16276.0,15792.0,27.0,210
211,212,13486.0,16348.0,15810.0,27.0,211
212,213,13504.0,16366.0,15828.0,27.0,212
213,214,13504.0,16438.0,15846.0,27.0,213
214,215,13504.0,16510.0,15864.0,27.0,214
215,216,13504.0,16582.0,15882.0,27.0,215
216,217,13504.0,16654.0,15900.0,27.0,216
217,218,13486.0,16726.0,15936.0,27.0,217
218,219,13486.0,16798.0,15954.0,27.0,218
219,220,13486.0,16870.0,15972.0,27.0,219
220,221,13486.0,16942.0,15990.0,27.0,220
221,222,13468.0,16996.0,15990.0,27.0,221
222,223,13468.0,17068.0,16026.0,27.0,222
223,224,13450.0,17158.0,16044.0,27.0,223
224,225,13468.0,17212.0,16080.0,27.0,224
225,226,13468.0,17284.0,16116.0,27.0,225
226,227,13450.0,17356.0,16134.0,27.0,226
227,228,13450.0,17428.0,16170.0,27.0,227
228,229,13450.0,17500.0,16188.0,27.0,228
229,230,13468.0,17572.0,16206.0,27.0,229
230,231,13468.0,17644.0,16206.0,27.0,230
231,232,13450.0,17698.0,16242.0,27.0,231
232,233,13450.0,17770.0,16260.0,27.0,232
233,234,13450.0,17842.0,16260.0,27.0,233
234,235,13468.0,17860.0,16278.0,27.0,234
235,236,13468.0,17896.0,16278.0,27.0,235
236,237,13450.0,17932.0,16296.0,16.4558,236
237,238,13450.0,17968.0,16314.0,27.0,237
238,239,13432.0,18040.0,16332.0,31.2492,238
239,240,13414.0,18094.0,16350.0,45.0,239
240,241,13414.0,18202.0,16368.0,27.0,240
241,242,13432.0,18274.0,16368.0,31.2492,241
242,243,13450.0,18364.0,16368.0,27.0,242
243,244,13450.0,18436.0,16368.0,27.0,243
244,245,13450.0,18508.0,16368.0,27.0,244
245,246,13432.0,18562.0,16386.0,45.0,245
246,247,13432.0,18670.0,16404.0,27.0,246
247,248,13432.0,18742.0,16422.0,27.0,247
248,249,13432.0,18814.0,16422.0,27.0,248
249,250,13432.0,18850.0,16422.0,27.0,249
250,251,13414.0,18868.0,16440.0,27.0,250
251,252,13414.0,18940.0,16440.0,27.0,251
252,253,13396.0,19012.0,16440.0,27.0,252
253,254,13378.0,19030.0,16458.0,27.0,253
254,255,13378.0,19102.0,16458.0,27.0,254
255,256,13360.0,19156.0,16458.0,27.0,255
256,257,13342.0,19228.0,16458.0,27.0,256
257,258,13342.0,19264.0,16458.0,27.0,257
258,259,13324.0,19300.0,16458.0,16.4558,258
