,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
440,1727979406,5813078552,CA(R),CA(R),11562,13820,9711,11560,13832,9687,0.853,0.894909
441,1727979406,5813078552,CA(R),CA(R),11711,14164,9813,11717,14166,9778,0.95,0.527862
442,1727979406,5813078552,CA(R),CA(R),11710,14118,9867,11713,14099,9853,0.991,0.976908
443,1640594274,5813078552,CA(R),CA(R),14601,11369,13026,14615,11350,13015,0.9,0.855216
444,1640594274,5813078552,CA(R),CA(R),14602,11356,12898,14602,11356,12871,0.842,0.994917
445,1640594274,5813078552,CA(R),CA(R),14384,11317,12875,14397,11305,12856,0.826,0.786552
446,1640594274,5813078552,CA(R),CA(R),14459,11368,12822,14454,11338,12816,0.837,0.773788
447,1640594274,5813078552,CA(R),CA(R),14315,11248,12960,14308,11229,12926,0.841,0.397315
448,1640594274,5813078552,CA(R),CA(R),14565,11346,12846,14580,11322,12851,0.822,0.670084
449,1640594274,5813078552,CA(R),CA(R),14423,11209,13104,14405,11202,13092,0.757,0.917435
450,1640594274,5813078552,CA(R),CA(R),14596,11324,13134,14576,11312,13158,0.939,0.543898
451,1449670372,5813078552,bL(R),bL(R),17593,31585,20507,17603,31574,20512,0.998,0.729343
452,1449670372,5813078552,bL(R),bL(R),15540,32604,20306,15534,32618,20301,0.916,0.8929
453,1420966843,5813078552,aL(R),aL(R),15969,29371,8809,15978,29350,8803,0.959,0.358232
454,1420966843,5813078552,aL(R),aL(R),16055,29430,9344,16063,29414,9341,0.797,0.849403
455,1418273110,5813078552,aL(R),aL(R),16122,29459,9833,16123,29448,9832,0.993,0.966782
456,1390942076,5813078552,aL(R),aL(R),17224,27136,6215,17224,27120,6220,0.921,0.906767
457,1387575003,5813078552,aL(R),aL(R),15763,30939,17847,15758,30921,17848,0.916,0.807673
458,1359553384,5813078552,aL(R),aL(R),16513,28733,12031,16528,28711,12040,0.996,0.600965
459,1359553384,5813078552,aL(R),aL(R),15058,30723,17527,15051,30730,17515,0.926,0.995675
460,1359553384,5813078552,SIP(R),SIP(R),16546,28896,12152,16554,28891,12142,0.967,0.832464
