bodyId,instance,type
5813035703,(PDM19)_L,
1622584190,(PVM10)_L,
608465100,ADL05m_pct(ADL05)_R,ADL05m_pct
1199082254,FQ12_a_C9_L,FQ12_a
611413241,(ADM04)_L,
861251038,aIPg4(PVL04)_R,aIPg4
5813056101,PDM08g_pct(PDM08)_R,PDM08g_pct
672283773,AVL25b_pct(AVL25)_R,AVL25b_pct
297925478,PDL07ob_pct(PDL07)_R,PDL07ob_pct
607273339,PDM10of_pct(PDM10)_R,PDM10of_pct
2071276111,AVL21g_b_pct(AVL21)_R,AVL21g_b_pct
1101474458,FB04oc(AVM10)_R,FB4P_a
364070309,KCab-c,KCab-sc
1065751225,FQ6_a_C7_L,FQ6_a
643743142,(MBDLaxon1),
917423207,ADL02s_pct(ADL02)_R,ADL02s_pct
630381893,KCg,KCg
1504427615,LC21(PLBDL4)_R,LC21
549502646,ADL12g_pct(ADL12)_R,ADL12g_pct
1539309006,ADM06m_pct(ADM06)_R,ADM06m_pct
670547617,ADL19r_pct(ADL19)_R,ADL19r_pct
480257914,ADL10k_pct(ADL10)_R,ADL10k_pct
5813055924,KCg,KCg
357573309,FQ12_b_C9_L,FQ12_b
673085574,PDM09ob_pct(PDM09)_R,PDM09ob_pct
1534344196,(PVM01)_L,
387913933,FQ12_b_C2_L,FQ12_b
759960572,PVL09j_pct(PVL09)_R,PVL09j_pct
735470305,ADL09u_pct(ADL09)_R,ADL09u_pct
1379183233,(LWF5)_R,
665735597,ADL05oa_pct(ADL05)_R,ADL05oa_pct
1969222604,(LWF7)_R,
731567967,ADL01n_c_pct(pSP9)(ADL01)_R,ADL01n_c_pct
706183728,ADM01e_pct(ADM01)_R,ADM01e_pct
393003572,PDM20v_pct(PDM20)_R,PDM20v_pct
1807584848,LPC1,LPC1
548562283,ADL09x_pct(ADL09)_R,ADL09x_pct
1199431561,R3w_a(ring)(AVM07)_L,R3w_a
1410450514,PFNp(PB01)_a_R6,PFNp_a
5813071292,PVL04u_pct(PVL04)_R,PVL04u_pct
1172446164,PAM07(y4<y1y2)_L,PAM07
1446204221,Delta0B,Delta0B
916543308,,
665454282,ADL24m_pct(ADL24)_R,ADL24m_pct
386506469,PDM05j_c_pct(PDM05)_R,PDM05j_c_pct
5812980984,PDL07v_pct(PDL07)_R,PDL07v_pct
1073354472,ADL14i_b_pct(ADL14)_R,ADL14i_b_pct
1194958916,Delta0N,Delta0N
1042089826,Delta0A_a(AB),Delta0A_a
5813016987,LC10,LC10
1599988924,AVL05om_pct(AVL05)_R,AVL05om_pct
1691298247,AVL10f_pct(AVL10)_R,AVL10f_pct
1379355446,PDL12t_pct(PDL12)_R,PDL12t_pct
761838951,,
1572873534,(AVM09)_L,
1261760489,R3a_c(ring)(AVM07)_L,R3a_c
1730547962,PVL07oe_pct(PVL07)_R,PVL07oe_pct
1131339501,PVL14g_pct(PVL14)_R,PVL14g_pct
1601771527,PEN(PB06)_b_R9,PEN_b(PEN2)
1785412639,LC12(lVLPT7)_R,LC12
604726283,mlPN2(AVM04)_R,olfactory multi vPN mlALT
1262105575,R3a_a(ring)(AVM07)_R,R3a_a
5812997160,LLPC2b,LLPC2b
1194070053,AVL01z_e_pct(AVL01)_R,AVL01z_e_pct
1125969082,PEG(PB07)_R9,PEG
296155122,FB08i(PDM25)_R,FB7F_b
1785062580,LC12,LC12
5813010376,PDL07x_pct(PDL07)_R,PDL07x_pct
1996190954,(LWF6)_R,
676616719,PAM04_b(B2)(ADM02)_L,PAM04
944132752,PVL03q_pct(PVL03)_R,PVL03q_pct
5812991822,PVM01oe_pct(PVM01)_R,PVM01oe_pct
389536816,ADL10d_b_pct(ADL10)_R,ADL10d_b_pct
5813011770,ADL04od_pct(ADL04)_R,ADL04od_pct
5813056309,KCg,KCg
1036563762,KCa'b',KCa'b'
420973612,AVL27a_pct(AVL27)_R,AVL27a_pct
1010273518,PDL09od_pct(PDL09)_R,PDL09od_pct
1163894164,Delta6I_07,Delta6I
451960272,ADL03m_x_pct(ADL03)_R,ADL03m_x_pct
642680826,KCab-p,KCab-p
1290209390,LT11(PLBDL7)_R,LT11
914846465,PDM21j_pct(PDM21)_R,PDM21j_pct
5813039422,PVM06p_pct(PVM06)_R,PVM06p_pct
1381997776,AVL13b_pct(AVL13)_R,AVL13b_pct
879450931,Delta6C_05,Delta6C
883415238,PVL01c_pct(PVL01)_R,PVL01c_pct
1441485633,PFNp(PB01)_c_R4,PFNp_c
790918098,PDL08p_b_pct(PDL08)_R,PDL08p_b_pct
357505462,ADL23f_pct(ADL23)_R,ADL23f_pct
1313175597,PVM01v_pct(PVM01)_R,PVM01v_pct
911823931,PFNp(PB01)_a_R4,PFNp_a
1294465669,KCa'b',KCa'b'
1435136061,(PVF4)_R,
828316734,(MBDLaxon1),
453453937,(MBDLaxon1),
5901196917,MC61,MC61
1192739907,LC24,LC24
451990898,ADL11c_b_pct(ADL11)_R,ADL11c_b_pct
1218728588,PFNp(PB01)_a_R9,PFNp_a
1414776617,,
1997230776,PVL02x_pct(PVL02)_R,PVL02x_pct
360466268,FB07f_L,FB7F_a
576475847,PDL15d_pct(PDL15)_R,PDL15d_pct
355086967,PDL06or_pct(PDL06)_R,PDL06or_pct
1931827637,ADM06q_pct(ADM06)_R,ADM06q_pct
1007576087,PVL10b_pct(PVL10)_R,PVL10b_pct
5812981671,KCab-s,KCab-sc
543702186,aMe26,aMe26
609924156,mPNX(AVM06)_R,olfactory multi lvPN mALT
759991385,PVL11oe_pct(PVL11)_R,PVL11oe_pct
614081109,ADL03u_pct(ADL03)_R,ADL03u_pct
451658249,ADL16n_pct(ADL16)_R,ADL16n_pct
1933576833,PVM04oa_pct(PVM04)_R,PVM04oa_pct
5813078454,H2 LPTC_L,H2
571139809,FQ4_a_C6_R,FQ4_a
1292121433,R3d_a(ring)(AVM07)_R,R3d_a
5813057461,PVL15w_pct_L,PVL15w_pct
1042154310,Delta0C,Delta0C
1224236818,,
1069282849,,
1779221851,PVL02t_pct(PVL02)_R,PVL02t_pct
1170857299,TuBu6_SBU(ADL08)_R,TuBu6
1100801075,FB04y(PPM3-FB3/4-NO-DAN)_L,FB4M
5812981199,(PDM12)_L,
920091866,(ADM01)_L,
5813039331,LLPC3,LLPC3
890524529,AVL10oa_pct(AVL10)_R,AVL10oa_pct
915619240,FQ10_a_C5_R,FQ10_a
1131836121,FB04w(PPM3-FB3/4-DAN)_L,FB4L
1131836336,FB04oe_L,FB4R
1229849063,MC61,MC61
1913480167,LN(AVM05)_R,olfactory LN
5813062199,LN(AVM02)_R,olfactory LN
2129240307,AVL17e_pct(AVL17)_R,AVL17e_pct
1160070135,PVM08g_b_pct(PVM08)_R,PVM08g_b_pct
604735824,PVL03p_pct(PVL03)_R,PVL03p_pct
1686839045,PVL02v_pct(PVL02)_R,PVL02v_pct
362701875,KCab-s,KCab-sc
5813055907,ADL02j_b_pct(ADL02)_R,ADL02j_b_pct
768884949,AVM07a_b_pct(AVM07)_R,AVM07a_b_pct
5813057404,PVM08m_pct(PVM08)_R,PVM08m_pct
