,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
554,5813078552,1418273110,aL(R),aL(R),16125,29440,9813,16141,29453,9815,0.947,0.979482
555,5813078552,1390942076,aL(R),aL(R),17224,27156,6285,17237,27160,6251,0.989,0.46022755
556,5813078552,1388585088,bL(R),bL(R),17324,31707,20844,17304,31693,20848,0.964,0.973933
557,5813078552,1388585088,bL(R),bL(R),17576,31556,20538,17551,31556,20531,0.979,0.588971
558,5813078552,1387575003,aL(R),aL(R),15754,30928,17869,15763,30936,17865,0.984,0.795207
559,5813078552,1359553384,bL(R),bL(R),15167,31426,20533,15174,31396,20524,0.983,0.568333
560,5813078552,1359553384,aL(R),aL(R),15108,30657,17484,15099,30647,17498,0.989,0.870637
561,5813078552,1359553384,aL(R),aL(R),16864,29559,5813,16861,29560,5801,0.989,0.998015
562,5813078552,1359553384,aL(R),aL(R),16527,28694,12034,16522,28706,12020,0.994,0.933888
563,5813078552,1359553384,aL(R),aL(R),15845,29527,10502,15837,29500,10494,0.986,0.57771
564,5813078552,1359212271,aL(R),aL(R),16750,29922,7025,16744,29918,7019,0.993,0.945018
565,5813078552,1359212271,aL(R),aL(R),16068,27861,6866,16076,27878,6867,0.997,0.81731
566,5813078552,1359212271,aL(R),aL(R),16180,27845,6804,16196,27843,6813,0.951,0.877832
567,5813078552,1328513713,bL(R),bL(R),18008,31256,20182,17989,31274,20178,0.791,0.807214
568,5813078552,1328505485,bL(R),bL(R),20670,30330,20925,20656,30337,20920,0.951,0.999212
569,5813078552,1328505485,aL(R),aL(R),15285,30534,17278,15302,30540,17272,0.99,0.916174
570,5813078552,1328505485,aL(R),aL(R),16108,30174,14475,16103,30165,14473,0.989,0.881045
571,5813078552,1327831994,bL(R),bL(R),18027,31328,20236,18025,31337,20223,0.98,0.865226
572,5813078552,1265420889,aL(R),aL(R),15754,30928,17869,15740,30948,17865,0.984,0.920267
573,5813078552,1265420889,aL(R),aL(R),15607,30996,17631,15601,30996,17646,0.881,0.941879
574,5813078552,1261989183,bL(R),bL(R),18113,31184,20137,18095,31182,20131,0.834,0.948732
575,5813078552,1261989183,PED(R),PED(R),13043,22940,17204,13054,22925,17205,0.999,0.739302
576,5813078552,1261989183,bL(R),bL(R),18008,31256,20182,18020,31250,20169,0.791,0.777326
577,5813078552,1261989183,PED(R),PED(R),13041,22722,17153,13053,22706,17156,0.998,0.642992
578,5813078552,1234386037,aL(R),aL(R),13650,29744,17853,13671,29748,17851,0.95,0.968512
579,5813078552,1234386037,aL(R),aL(R),15790,30181,15831,15790,30164,15814,0.956,0.869876
580,5813078552,1234386037,aL(R),aL(R),15799,30118,15724,15799,30107,15738,0.825,0.989745
581,5813078552,1234386037,aL(R),aL(R),13818,30033,17850,13830,30033,17865,0.781,0.920328
582,5813078552,1234386037,aL(R),aL(R),14368,31274,17915,14354,31274,17912,0.989,0.926587
583,5813078552,1234386037,aL(R),aL(R),15465,31012,17515,15453,31001,17514,0.994,0.984928
584,5813078552,1234386037,aL(R),aL(R),15615,30222,16594,15618,30203,16611,0.99,0.99302
585,5813078552,1234386037,aL(R),aL(R),14478,31122,17879,14485,31106,17885,0.953,0.760534
586,5813078552,1234386037,aL(R),aL(R),14120,30757,17734,14116,30764,17725,0.922,0.924888
587,5813078552,1234386037,aL(R),aL(R),14107,30678,17732,14121,30672,17731,0.868,0.872621
588,5813078552,1234386037,aL(R),aL(R),14148,30906,17720,14140,30896,17708,0.973,0.932176
589,5813078552,1234386037,aL(R),aL(R),14859,31022,17842,14843,31015,17875,0.98,0.48252
590,5813078552,1234386037,aL(R),aL(R),13766,29919,17856,13780,29911,17873,0.917,0.925992
591,5813078552,1234386037,aL(R),aL(R),15350,30489,17329,15364,30504,17352,0.983,0.658958
592,5813078552,1231299343,aL(R),aL(R),15607,30996,17631,15602,31007,17634,0.881,0.963866
593,5813078552,1203066401,bL(R),bL(R),22581,28568,20415,22564,28568,20430,0.822,0.952131
594,5813078552,1203066222,bL(R),bL(R),21365,28918,21040,21342,28916,21046,0.912,0.78728
595,5813078552,1173408617,CA(R),CA(R),13933,11346,12766,13950,11364,12779,0.963,0.669651
596,5813078552,1172372382,CA(R),CA(R),13933,11346,12766,13930,11338,12779,0.963,0.467968
597,5813078552,1172363878,CA(R),CA(R),14239,13181,11010,14233,13146,11029,0.999,0.45086652
598,5813078552,1170606692,aL(R),aL(R),16125,29440,9813,16110,29454,9815,0.947,0.963121
599,5813078552,1170606692,aL(R),aL(R),15994,29360,8829,16002,29380,8831,0.901,0.977374
600,5813078552,1170606692,bL(R),bL(R),22948,29615,20448,22966,29624,20465,0.976,0.515787
601,5813078552,1170606692,aL(R),aL(R),15672,29685,7794,15679,29692,7797,0.892,0.746784
602,5813078552,1141328881,bL(R),bL(R),22105,30833,20037,22103,30858,20050,0.951,0.628087
603,5813078552,1141328881,bL(R),bL(R),23444,28340,20331,23416,28333,20330,0.92,0.903919
